Voyelle	F1	F2	F3	Duree
a	943.9349285	1633.863867	2767.252834	114
a	1052.01671	1469.470889	2818.98887	131
a	1116.257967	1697.986397	2814.110848	152
a	871.6433875	1603.991632	2980.822147	190
a	1164.406972	1666.38512	2911.831896	154
a	1041.616907	1707.015268	2889.482971	184
a	1073.277683	1824.458699	2965.566679	82
a	938.7259945	1523.765948	2829.494257	210
a	807.293533	1758.773674	2767.286644	207
a	788.927429	1626.858909	2856.970173	237
a	980.0298365	1457.955546	2758.91742	338
a	1024.548421	1701.59212	2767.522795	240
a	741.4712315	1480.294428	3020.212797	325
a	1070.203133	1683.935407	3227.319219	324
a	917.25007	1720.439731	2880.169088	341
a	1231.668784	1811.943685	3126.605471	206
a	858.567162	1471.838606	2878.475026	272
a	922.5797365	1750.288149	2847.152011	296
a	890.861403	1671.041037	2789.979153	256
a	941.505285	1417.90343	2697.68781	271
a	938.282378	1706.453189	2892.538414	219
a	718.650361	1626.349815	3479.701674	237
a	1084.518414	1717.822997	3195.664794	367
a	895.688235	1699.461894	3016.586025	327
a	1085.103549	1689.442267	3374.376402	276
a	908.9866985	1579.656461	3091.141723	252
a	742.902958	1767.312723	2915.932991	223
A	687.014671	1287.143794	3131.375303	294
A	701.658476	1199.887971	3154.365222	355
A	837.246474	1433.790088	2786.503507	295
A	689.034956	1221.107851	2718.170572	342
A	818.005361	1244.456313	3080.254721	356
A	780.054364	1194.631382	2909.315107	331
A	814.494996	1320.012857	3428.106751	392
A	639.366714	1145.619433	3027.401901	267
A	674.422771	1205.264104	2897.304692	369
A	697.571382	1262.711899	3092.668527	195
A	715.659199	1093.270985	3182.149439	261
A	870.012326	1415.595824	2952.074653	257
A	679.2326965	1183.560458	2773.050601	335
A	842.2389325	1252.559421	3077.507012	287
A	766.797091	1244.200905	2905.804823	310
A	809.826827	1318.97802	3353.215455	224
A	730.814976	1166.73335	3087.389397	231
A	685.539725	1149.128138	2787.725286	306
A	738.381205	1306.768638	3101.14733	257
A	761.698509	1183.735035	3216.953586	288
A	819.395937	1360.999935	2611.037005	257
A	619.88269	1330.323377	3575.114769	338
A	794.796537	1227.977872	3146.424013	416
A	814.949633	1436.403788	3454.6046	313
A	819.03394	1240.091498	3622.342675	339
A	748.423797	1180.927173	3385.735621	260
A	657.822824	1215.933785	2741.734624	325
A	689.223532	1266.80671	3091.232532	218
A	749.221489	1167.594422	3159.832556	359
A	840.723214	1409.02794	2801.246335	207
A	702.576268	1291.159252	2891.040378	280
A	933.1455905	1187.793584	3230.737516	315
A	789.841966	1256.589824	2941.973098	270
A	872.361865	1320.7579	3348.738452	214
A	685.419163	1155.474584	2981.946344	236
A	601.622384	1167.958494	2907.248583	324
a	923.839166	1593.981053	2916.015266	93
a	1089.199568	1294.526662	2850.260955	156
a	1158.733005	1668.662271	2866.756551	150
a	804.743557	1558.037609	2855.84764	150
a	1068.599127	1701.40482	3091.239347	154
a	981.1867185	1718.538373	2866.525701	173
a	1252.87751	1807.789395	3049.143457	115
a	931.999932	1456.192343	2867.064941	170
a	802.9049785	1657.383608	2742.451125	222
a	824.955895	1698.024061	2506.290537	192
a	1090.906955	1608.276329	2835.991436	180
a	937.870368	1749.38882	2754.113157	135
a	643.7914065	1617.60898	2717.373451	278
a	1064.157144	1678.645243	2892.704073	317
a	1060.207133	1855.678672	3001.432677	195
a	943.859519	1853.230434	2944.447551	185
a	865.451976	1510.682185	2840.003507	190
a	782.730168	1851.437327	2682.262675	220
a	945.2291025	1622.936943	2600.503596	107
a	1183.497628	1555.2482	2715.127089	97
a	1031.88965	1640.102669	2618.365906	113
a	835.118868	1651.702632	2761.630106	166
a	1213.305686	1703.914863	2860.08525	140
a	1109.317765	1766.173282	3065.322558	147
a	1122.30941	1853.816275	2803.644725	62
a	907.447119	1493.285276	2776.978376	153
a	678.053645	1628.69089	2738.283386	176
A	782.2823	1295.826585	3057.785641	244
A	744.008246	1180.966662	3216.409739	296
A	789.3366755	1433.932001	2701.396224	225
A	750.8642025	1266.448695	2980.12565	335
A	757.733292	1293.369341	2980.067736	344
A	728.746006	1284.93087	2753.295893	298
A	774.169497	1275.031331	3317.734996	363
A	653.0601585	1205.531236	3144.017811	261
A	629.204671	1223.275498	2813.488498	378
A	738.902405	1249.469029	3142.419331	206
A	704.9938955	1085.81521	2984.854989	222
A	816.9473285	1398.933142	2797.239354	152
A	677.5747485	1271.845729	2798.323626	314
A	800.492019	1270.718329	3162.079845	293
A	820.836095	1196.303585	2873.254743	243
A	862.0066415	1253.234513	3379.879964	265
A	695.924504	1137.271409	2866.245052	212
A	683.239914	1152.09999	2869.387581	285
A	773.394677	1232.70414	3041.602453	217
A	712.302657	1188.320499	2998.035154	282
A	874.496601	1459.453011	2771.463178	185
A	723.290066	1267.717917	2785.571859	306
A	812.185534	1271.787446	3068.347627	306
A	757.241254	1358.760964	2801.424158	203
A	853.938788	1202.90992	3386.470882	228
A	709.8064575	1224.956666	2968.618599	237
A	626.511363	1156.331537	2721.689015	286
a	886.012518	1772.717944	2557.352493	101
a	1117.766805	1524.536957	2677.119984	147
a	1038.514915	1733.561738	2726.554131	130
a	842.46238	1699.343229	2797.893605	124
a	1204.663611	1700.714166	2757.811673	108
a	1003.048207	1741.703924	3056.324876	151
a	1038.541212	1916.200908	2696.064671	87
a	1019.006831	1588.471329	2731.203756	133
a	936.419496	1781.82462	2656.515265	144
a	993.824664	1661.548732	2583.382635	168
a	920.3496825	1479.64683	2774.582398	245
a	1052.301996	1761.061042	2857.159802	134
a	853.932301	1745.226707	2959.672795	220
a	1096.547825	1695.447399	3009.716063	352
a	998.092485	1686.077673	2960.113983	236
a	920.692341	1828.746195	2887.054569	186
a	746.786745	1431.769792	2864.667222	187
a	691.3408815	1778.123691	2850.337579	185
A	740.433393	1257.28155	3128.966329	265
A	730.208675	1008.347526	3077.142392	340
A	801.455801	1402.289992	2905.688818	233
A	652.16737	1257.014694	2897.514676	327
A	755.3025345	1262.699666	3170.813371	371
A	761.8636765	1255.966982	2773.654024	373
A	795.874094	1256.122135	3479.529338	280
A	681.206593	1174.682069	3159.909704	234
A	635.699954	1156.046668	2876.201342	388
a	938.7137335	1588.822166	2688.279208	90
a	1103.691057	1453.747029	3008.915165	125
a	1011.252703	1729.513381	2786.841154	140
a	1092.749302	1636.014996	2843.077939	131
a	1133.62675	1695.492387	2986.458508	143
a	976.092504	1632.149216	2868.448934	153
a	995.716934	1773.832682	2873.192787	103
a	933.899236	1540.393525	2879.155701	155
a	936.2726795	1760.578222	2853.109328	111
A	804.246144	1144.881635	3234.240978	224
A	683.065664	1078.376381	3178.651349	270
A	936.944683	1409.08634	2864.995893	162
A	686.761584	1265.923342	2864.388834	289
A	726.626504	1278.45295	3274.052347	292
A	790.67061	1258.118936	2838.114513	276
A	822.416206	1215.600308	3472.151667	236
A	661.437906	1095.208532	3021.288472	192
A	689.639173	1149.597057	3213.778762	269
a	944.8436935	1640.561772	2720.759877	111
a	1027.183019	1501.904116	3019.502194	101
a	1108.35785	1564.002937	2841.321151	116
a	995.898003	1663.667763	3040.15095	143
a	1216.82331	1697.272155	3001.044149	134
a	1009.292328	1641.173446	2952.730285	143
a	1036.974971	1837.529734	3001.782552	109
a	902.7339465	1532.894761	3041.473659	172
a	861.217579	1697.698348	2715.060066	192
A	691.12219	1267.958434	3040.394353	246
A	708.410635	1124.530172	3277.150791	266
A	810.6281555	1374.887485	3020.424941	203
A	762.751191	1365.743884	3178.621686	265
A	857.286295	1283.49769	2952.565952	296
A	786.3201985	1314.236298	3098.81101	249
A	848.0768625	1369.228709	3181.245997	189
A	680.601024	1202.382412	3094.925242	222
A	701.336875	1175.05384	2867.897647	343
A	706.07985	1230.23974	3211.248256	184
A	686.983735	1119.520865	3226.787486	270
A	879.782674	1414.655511	3040.773013	208
A	740.399891	1289.146722	3270.326705	270
A	835.893584	1281.953615	3354.261889	303
A	840.001022	1281.381215	3503.861837	235
A	872.3970535	1184.233914	3662.710561	251
A	724.233513	1142.479787	3337.357772	242
A	780.299349	1220.342854	2955.14649	283
a	974.154874	1684.078667	2969.010898	105
a	1016.649096	1482.465391	3127.356198	119
a	1093.496614	1754.081163	2620.394702	134
a	766.901277	1644.555854	3526.508824	147
a	1168.854195	1711.493354	3186.581715	131
a	1046.67781	1671.384916	3001.228309	123
a	1339.776721	1774.870238	3307.482438	92
a	914.860553	1500.329917	3036.433672	156
a	823.747091	1837.884116	2878.07615	160
a	890.200489	1605.8819	2613.412814	106
a	1059.583215	1488.843838	2811.942575	126
a	1061.734703	1697.338961	2718.31778	105
a	924.413475	1599.478538	2975.956235	241
a	1160.937147	1693.837174	2967.252351	101
a	1032.538863	1704.131561	3040.25984	146
a	1190.45175	1893.590164	3109.937919	111
