Voyelle	F1	F2	F3	Duree
a	759.940158	1785.106873	2598.320609	144
a	874.684079	1476.061794	2420.184713	144
a	757.153681	1401.729261	2374.00665	158
a	769.4618995	1608.94551	2662.947409	185
a	772.42629	1448.05663	2325.785403	93
a	772.943261	1402.752938	2603.02576	181
a	755.415963	1541.59872	2783.434154	205
a	670.398751	1728.928187	2550.130548	146
a	879.1860255	1503.932261	2554.40112	98
a	637.743641	1580.15288	2558.301768	212
a	814.91491	1488.856258	2482.291483	209
a	683.731799	1309.86604	2471.651399	320
a	711.883459	1641.392991	2727.446467	280
a	691.922066	1522.553034	2414.929293	310
a	794.990285	1397.148934	2631.157648	366
a	671.386973	1490.723093	2637.967328	319
a	576.723787	1572.600262	2342.003269	209
a	776.3666115	1495.166325	2679.698282	313
a	633.691983	1554.652441	2618.268428	186
a	780.754168	1506.169536	2577.948349	274
a	707.798577	1245.467891	2450.40874	229
a	754.7973315	1588.188778	2645.369475	240
a	809.787768	1500.895223	2457.549287	182
a	796.449608	1389.092521	2686.492277	256
a	574.509143	1587.2847	3065.519384	267
a	569.46779	1529.680903	2181.029439	221
a	801.656744	1510.011836	2716.254905	255
A	596.884468	1085.692357	2612.252793	288
A	603.141911	1063.174028	2521.175239	322
A	695.196817	1126.515655	2519.803923	375
A	762.207686	1294.618598	2920.320051	321
A	629.1701015	1087.472533	2574.376525	264
A	627.2226795	1062.412086	2639.212679	416
A	525.345725	1066.845122	2910.608675	344
A	632.712075	1136.990967	2575.587079	419
A	554.7787645	1006.846217	2875.769924	359
A	633.768524	1143.571027	2422.729837	176
A	699.9029875	1095.090815	2457.973582	277
A	726.8502345	1154.288786	2568.913632	259
A	738.014295	1286.901304	2935.962643	216
A	617.8837935	1059.344133	2374.106598	189
A	654.595165	1052.01285	2549.81319	282
A	584.264013	1055.611043	2813.095744	348
A	633.163974	1059.075165	2540.546993	259
A	559.2690645	991.8333825	2818.190594	211
A	598.597885	1109.24763	2548.943803	265
A	634.3137395	1033.669182	2514.775381	279
A	707.955313	1119.413027	2836.22732	335
A	708.139236	1305.628422	2854.256273	262
A	568.243506	1016.792654	2621.270927	254
A	651.7710115	1008.105952	2956.181501	410
A	549.2010915	1042.606698	2795.378973	373
A	608.130739	1039.546035	2586.530661	335
A	571.8588915	1014.719489	2663.843283	322
A	610.5618105	1046.932089	2609.317738	226
A	661.052042	1068.773003	2426.393702	252
A	750.395298	1171.158666	2619.432336	255
A	728.751021	1291.288527	2914.035976	236
A	642.009538	1072.404493	2649.586192	200
A	624.4775455	991.7400765	2636.127486	300
A	627.202302	1067.303832	2912.361298	342
A	654.46053	1102.771154	2651.599808	271
A	585.348459	1028.903626	2742.535521	195
a	732.165698	1545.453584	2474.134372	136
a	848.308919	1445.961204	2407.682902	152
a	753.5564945	1316.100858	2410.97704	154
a	753.349634	1626.459904	2634.162766	173
a	767.926954	1444.215556	2270.059429	129
a	735.780877	1395.889304	2530.314645	187
a	692.6948885	1574.76177	2799.521253	205
a	556.313026	1502.956622	2125.800719	183
a	854.0270435	1518.512956	2731.674941	110
a	713.844069	1480.2401	2278.644406	119
a	789.663859	1550.121783	2451.912971	168
a	728.303097	1434.410212	2352.591028	286
a	753.994282	1697.350839	2757.831583	171
a	709.7718	1591.630771	2409.740369	215
a	685.340245	1388.023469	2460.277344	224
a	755.2796315	1633.225976	2671.21197	151
a	561.024249	1534.3176	2215.044032	241
a	809.243094	1578.031071	2738.074279	132
a	754.800009	1559.201856	2381.095881	93
a	870.4963815	1566.677072	2422.138132	138
a	790.123357	1502.985161	2347.590966	132
a	768.3188005	1653.491218	2590.629504	146
a	718.421783	1533.380532	2298.810766	114
a	741.8580185	1398.992896	2454.510052	165
a	613.3486695	1497.856999	2685.02028	161
a	591.2096725	1533.472099	2142.078527	140
a	908.03009	1512.796651	2710.766098	77
A	611.469665	1024.932014	2483.074039	220
A	613.322401	1077.233954	2425.033331	291
A	660.420698	1109.25056	2629.124037	350
A	667.516414	1353.617614	2717.998179	278
A	603.336609	1124.691141	2517.523607	220
A	640.37252	1076.441273	2649.805445	346
A	494.460216	1089.271016	2925.611444	311
A	598.001258	1147.152292	2421.837078	411
A	566.466075	1030.124476	2803.949841	276
A	618.181121	1121.307767	2318.773366	203
A	668.1581645	1070.560543	2466.8295	209
A	583.919918	1111.57406	2390.373843	270
A	716.583247	1256.592664	2734.392442	203
A	721.240627	1043.907341	2582.338736	182
A	642.286652	1066.338514	2656.759688	274
A	536.618007	1067.87458	2861.851469	294
A	616.9884025	1067.715453	2590.288135	250
A	597.688186	983.214524	2844.44074	167
A	662.360765	1160.949835	2412.595306	136
A	744.84247	1143.567608	2466.380201	243
A	715.18633	1128.813361	2490.386583	273
A	707.079598	1276.788545	2753.234907	233
A	619.903448	1095.584533	2472.355837	156
A	605.2348235	1025.86086	2627.026476	285
A	513.292932	1069.073925	2977.922718	263
A	619.600135	1101.620021	2563.755448	276
A	636.8121185	1022.783838	2893.965723	184
a	687.38005	1648.451357	2365.248263	121
a	874.454794	1531.896956	2359.794524	128
a	846.674731	1643.611705	2921.206801	115
a	740.966573	1649.546351	2536.260947	153
a	715.459381	1461.42338	2250.353046	96
a	788.108057	1415.205008	2436.911883	160
a	625.337598	1639.865624	2612.441891	140
a	556.5269635	1580.369216	2131.519949	151
a	813.729235	1568.034897	2684.137478	93
a	712.699391	1463.248278	2470.408412	154
a	808.266363	1545.369799	2579.346035	177
a	750.889826	1421.728217	2661.020258	252
a	709.493972	1660.048976	2596.423588	165
a	722.493119	1535.332193	2352.571871	185
a	733.837005	1346.758676	2652.943666	217
a	785.4212195	1586.948529	2589.77601	161
a	587.7830885	1529.325656	2261.290892	251
a	836.641022	1514.973459	2686.345087	147
A	614.226009	1022.623576	2477.528596	234
A	745.1929775	1118.160041	2438.758357	101
A	702.1705655	1169.431042	2389.359451	370
A	670.1283605	1252.673477	2857.823435	297
A	574.8101135	1038.261764	2667.14715	263
A	663.286908	1066.982708	2623.780856	380
A	550.074807	1036.147746	2970.831858	355
